id,translation
0,"{'input': '<QUESTION> How many <TABLE> singers </TABLE> do we have ?  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> singer id </PRIMARY KEY>  FROM  <TABLE> singer </TABLE>  </QUERY>'}"
1,"{'input': '<QUESTION> What is the total number of <TABLE> singers </TABLE> ?  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> singer id </PRIMARY KEY>  FROM  <TABLE> singer </TABLE>  </QUERY>'}"
2,"{'input': '<QUESTION> Show name , <COLUMN> country </COLUMN> , <COLUMN> age </COLUMN> for all <TABLE> singers </TABLE> ordered by <COLUMN> age </COLUMN> from the oldest to the youngest .  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> name </COLUMN>  <COLUMN> country </COLUMN>  <COLUMN> age </COLUMN>  FROM  <TABLE> singer </TABLE> ORDER BY <COLUMN> age </COLUMN> DESCENDING </QUERY>'}"
3,"{'input': '<QUESTION> What are the <COLUMN> names </COLUMN> , <COLUMN> countries </COLUMN> , and <COLUMN> ages </COLUMN> for every <TABLE> singer </TABLE> in descending order of <COLUMN> age </COLUMN> ?  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> name </COLUMN>  <COLUMN> country </COLUMN>  <COLUMN> age </COLUMN>  FROM  <TABLE> singer </TABLE> ORDER BY <COLUMN> age </COLUMN> DESCENDING </QUERY>'}"
4,"{'input': '<QUESTION> What are all distinct <COLUMN> countries </COLUMN> where <TABLE> singers </TABLE> above <COLUMN> age </COLUMN> <VALUE> 20 </VALUE> are from ?  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT DISTINCT <COLUMN> country </COLUMN>  FROM  <TABLE> singer </TABLE> WHERE <COLUMN> age </COLUMN> greater than <VALUE> 20 </VALUE> </QUERY>'}"
5,"{'input': '<QUESTION> What are the different <COLUMN> countries </COLUMN> with <TABLE> singers </TABLE> above <COLUMN> age </COLUMN> <VALUE> 20 </VALUE> ?  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT DISTINCT <COLUMN> country </COLUMN>  FROM  <TABLE> singer </TABLE> WHERE <COLUMN> age </COLUMN> greater than <VALUE> 20 </VALUE> </QUERY>'}"
6,"{'input': '<QUESTION> Show all <COLUMN> countries </COLUMN> and the number of <TABLE> singers </TABLE> in each <COLUMN> country </COLUMN> .  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> country </COLUMN> <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> singer id </PRIMARY KEY>  FROM  <TABLE> singer </TABLE> GROUP BY <COLUMN>  country </COLUMN> </QUERY>'}"
7,"{'input': '<QUESTION> How many <TABLE> singers </TABLE> are from each <COLUMN> country </COLUMN> ?  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> country </COLUMN> <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> singer id </PRIMARY KEY>  FROM  <TABLE> singer </TABLE> GROUP BY <COLUMN>  country </COLUMN> </QUERY>'}"
8,"{'input': '<QUESTION> List all <COLUMN> song </COLUMN> <COLUMN> names </COLUMN> by <TABLE> singers </TABLE> above the average <COLUMN> age </COLUMN> .  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> song_name </COLUMN>  FROM  <TABLE> singer </TABLE> WHERE <COLUMN> age </COLUMN> greater than <QUERY> SELECT <AGGREGATE> avg </AGGREGATE> <COLUMN> age </COLUMN>  FROM  <TABLE> singer </TABLE>  </QUERY> </QUERY>'}"
9,"{'input': '<QUESTION> What are all the <COLUMN> song </COLUMN> <COLUMN> names </COLUMN> by <TABLE> singers </TABLE> who are older than average ?  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""singer"". The column names of this table are ""singer id"" which is of type number, ""name"" which is of type text, ""country"" which is of type text, ""song name"" which is of type text, ""song release year"" which is of type text, ""age"" which is of type number, ""is male"" which is of type others. The mandatory column of this table is ""singer id"". The table ""singer in concert"" has a reference in the table ""singer"" which are linked by the column ""singer id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> song_name </COLUMN>  FROM  <TABLE> singer </TABLE> WHERE <COLUMN> age </COLUMN> greater than <QUERY> SELECT <AGGREGATE> avg </AGGREGATE> <COLUMN> age </COLUMN>  FROM  <TABLE> singer </TABLE>  </QUERY> </QUERY>'}"
