id,translation
0,"{'input': 'How many singers do we have?', 'output': 'SELECT count(*) FROM singer'}"
1,"{'input': 'What is the total number of singers?', 'output': 'SELECT count(*) FROM singer'}"
2,"{'input': 'Show name, country, age for all singers ordered by age from the oldest to the youngest.', 'output': 'SELECT name ,  country ,  age FROM singer ORDER BY age DESC'}"
3,"{'input': 'What are the names, countries, and ages for every singer in descending order of age?', 'output': 'SELECT name ,  country ,  age FROM singer ORDER BY age DESC'}"
4,"{'input': 'What are all distinct countries where singers above age 20 are from?', 'output': 'SELECT DISTINCT country FROM singer WHERE age  >  20'}"
5,"{'input': 'What are  the different countries with singers above age 20?', 'output': 'SELECT DISTINCT country FROM singer WHERE age  >  20'}"
6,"{'input': 'Show all countries and the number of singers in each country.', 'output': 'SELECT country ,  count(*) FROM singer GROUP BY country'}"
7,"{'input': 'How many singers are from each country?', 'output': 'SELECT country ,  count(*) FROM singer GROUP BY country'}"
8,"{'input': 'List all song names by singers above the average age.', 'output': 'SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)'}"
9,"{'input': 'What are all the song names by singers who are older than average?', 'output': 'SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)'}"
10,"{'input': 'Show location and name for all stadiums with a capacity between 5000 and 10000.', 'output': 'SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000'}"
11,"{'input': 'What are the locations and names of all stations with capacity between 5000 and 10000?', 'output': 'SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000'}"
12,"{'input': 'What is the maximum capacity and the average of all stadiums ?', 'output': 'select max(capacity), average from stadium'}"
13,"{'input': 'Show the stadium names without any concert.', 'output': 'SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)'}"
14,"{'input': 'What are the names of the stadiums without any concerts?', 'output': 'SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)'}"
15,"{'input': 'Find the number of pets whose weight is heavier than 10.', 'output': 'SELECT count(*) FROM pets WHERE weight  >  10'}"
16,"{'input': 'How many pets have a greater weight than 10?', 'output': 'SELECT count(*) FROM pets WHERE weight  >  10'}"
17,"{'input': 'Find the maximum weight for each type of pet. List the maximum weight and pet type.', 'output': 'SELECT max(weight) ,  petType FROM pets GROUP BY petType'}"
18,"{'input': 'List the maximum weight and type for each type of pet.', 'output': 'SELECT max(weight) ,  petType FROM pets GROUP BY petType'}"
19,"{'input': 'Find the number of distinct type of pets.', 'output': 'SELECT count(DISTINCT pettype) FROM pets'}"
20,"{'input': 'How many different types of pet are there?', 'output': 'SELECT count(DISTINCT pettype) FROM pets'}"
21,"{'input': 'Find the id and weight of all pets whose age is older than 1.', 'output': 'SELECT petid ,  weight FROM pets WHERE pet_age  >  1'}"
22,"{'input': 'What is the id and weight of every pet who is older than 1?', 'output': 'SELECT petid ,  weight FROM pets WHERE pet_age  >  1'}"
23,"{'input': 'Find the average weight for each pet type.', 'output': 'SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype'}"
24,"{'input': 'What is the average weight for each type of pet?', 'output': 'SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype'}"
25,"{'input': 'Find the average age of students who do not have any pet .', 'output': 'select avg(age) from student where stuid not in (select stuid from has_pet)'}"
26,"{'input': 'What is the average age for all students who do not own any pets ?', 'output': 'select avg(age) from student where stuid not in (select stuid from has_pet)'}"
27,"{'input': 'How many continents are there?', 'output': 'SELECT count(*) FROM CONTINENTS;'}"
28,"{'input': 'What is the number of continents?', 'output': 'SELECT count(*) FROM CONTINENTS;'}"
29,"{'input': 'How many countries are listed?', 'output': 'SELECT count(*) FROM COUNTRIES;'}"
30,"{'input': 'How many countries exist?', 'output': 'SELECT count(*) FROM COUNTRIES;'}"
31,"{'input': 'What is the average miles per gallon(mpg) of the cars with 4 cylinders?', 'output': 'SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;'}"
32,"{'input': 'What is the average miles per gallon of all the cards with 4 cylinders?', 'output': 'SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;'}"
33,"{'input': 'What is the smallest weight of the car produced with 8 cylinders on 1974 ?', 'output': 'select min(weight) from cars_data where cylinders  =  8 and year  =  1974'}"
34,"{'input': 'What is the minimum weight of the car with 8 cylinders produced in 1974 ?', 'output': 'select min(weight) from cars_data where cylinders  =  8 and year  =  1974'}"
35,"{'input': 'What are all the makers and models?', 'output': 'SELECT Maker ,  Model FROM MODEL_LIST;'}"
36,"{'input': 'What are the makers and models?', 'output': 'SELECT Maker ,  Model FROM MODEL_LIST;'}"
37,"{'input': 'What is the number of the cars with horsepower more than 150?', 'output': 'SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;'}"
38,"{'input': 'What is the number of cars with a horsepower greater than 150?', 'output': 'SELECT count(*) FROM CARS_DATA WHERE horsepower  >  150;'}"
39,"{'input': 'What is the average weight of cars each year?', 'output': 'SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;'}"
40,"{'input': 'What is the average weight and year for each year?', 'output': 'SELECT avg(Weight) ,  YEAR FROM CARS_DATA GROUP BY YEAR;'}"
41,"{'input': 'What is the average horsepower of the cars before 1980?', 'output': 'SELECT avg(horsepower) FROM CARS_DATA WHERE YEAR  <  1980;'}"
42,"{'input': 'What is the average horsepower for all cars produced before 1980 ?', 'output': 'select avg(horsepower) from cars_data where year  <  1980;'}"
43,"{'input': 'What is the maximum accelerate for different number of cylinders?', 'output': 'SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;'}"
44,"{'input': 'What is the maximum accelerate for all the different cylinders?', 'output': 'SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;'}"
45,"{'input': 'How many cars have more than 4 cylinders?', 'output': 'SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;'}"
46,"{'input': 'What is the number of cars with more than 4 cylinders?', 'output': 'SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;'}"
47,"{'input': 'how many cars were produced in 1980?', 'output': 'SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;'}"
48,"{'input': 'In 1980, how many cars were made?', 'output': 'SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;'}"
49,"{'input': 'In which years cars were produced weighing no less than 3000 and no more than 4000 ?', 'output': 'select distinct year from cars_data where weight between 3000 and 4000;'}"
50,"{'input': 'What are the different years in which there were cars produced that weighed less than 4000 and also cars that weighted more than 3000 ?', 'output': 'select distinct year from cars_data where weight between 3000 and 4000;'}"
51,"{'input': 'How many cars has over 6 cylinders?', 'output': 'SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;'}"
52,"{'input': 'What is the number of carsw ith over 6 cylinders?', 'output': 'SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;'}"
53,"{'input': 'Which country does Airline ""JetBlue Airways"" belong to?', 'output': 'SELECT Country FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""'}"
54,"{'input': 'What country is Jetblue Airways affiliated with?', 'output': 'SELECT Country FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""'}"
55,"{'input': 'What is the abbreviation of Airline ""JetBlue Airways""?', 'output': 'SELECT Abbreviation FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""'}"
56,"{'input': 'Which abbreviation corresponds to Jetblue Airways?', 'output': 'SELECT Abbreviation FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""'}"
57,"{'input': 'List all airline names and their abbreviations in ""USA"".', 'output': 'SELECT Airline ,  Abbreviation FROM AIRLINES WHERE Country  =  ""USA""'}"
58,"{'input': 'What are the airline names and abbreviations for airlines in the USA?', 'output': 'SELECT Airline ,  Abbreviation FROM AIRLINES WHERE Country  =  ""USA""'}"
59,"{'input': 'List the airport code and name in the city of Anthony.', 'output': 'SELECT AirportCode ,  AirportName FROM AIRPORTS WHERE city  =  ""Anthony""'}"
